IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.45.78,1,1,0.00,37.77,34.28,NRT
162.159.39.155,1,1,0.00,37.32,10.54,NRT
162.159.38.230,1,1,0.00,54.80,0.00,N/A
108.162.198.49,1,1,0.00,56.86,0.00,N/A
162.159.44.7,1,1,0.00,57.46,0.00,N/A
162.159.14.64,1,1,0.00,63.49,0.00,N/A
162.159.23.82,1,1,0.00,63.51,0.00,N/A
162.159.41.243,1,1,0.00,63.56,0.00,N/A
104.18.34.95,1,1,0.00,63.67,0.00,N/A
162.159.50.182,1,1,0.00,63.74,0.00,N/A
162.159.16.80,1,1,0.00,64.12,0.00,N/A
172.64.37.180,1,1,0.00,64.41,0.00,N/A
162.159.58.93,1,1,0.00,64.93,0.00,N/A
104.18.47.17,1,1,0.00,64.95,0.00,N/A
172.64.144.10,1,1,0.00,65.12,0.00,N/A
104.18.37.204,1,1,0.00,65.27,0.00,N/A
162.159.11.16,1,1,0.00,65.52,0.00,N/A
172.64.35.3,1,1,0.00,65.54,0.00,N/A
104.18.46.245,1,1,0.00,65.62,0.00,N/A
172.64.52.61,1,1,0.00,65.65,0.00,N/A
162.159.27.26,1,1,0.00,66.54,0.00,N/A
172.64.154.197,1,1,0.00,67.21,0.00,N/A
172.64.34.24,1,1,0.00,67.30,0.00,N/A
108.162.196.71,1,1,0.00,67.96,0.00,N/A
162.159.26.250,1,1,0.00,68.16,0.00,N/A
162.159.13.0,1,1,0.00,68.37,0.00,N/A
162.159.8.247,1,1,0.00,68.74,0.00,N/A
172.64.147.102,1,1,0.00,68.86,0.00,N/A
104.18.35.73,1,1,0.00,68.94,0.00,N/A
172.64.53.89,1,1,0.00,68.97,0.00,N/A
162.159.33.183,1,1,0.00,69.61,0.00,N/A
162.159.34.186,1,1,0.00,69.70,0.00,N/A
162.159.18.156,1,1,0.00,69.71,0.00,N/A
162.159.42.18,1,1,0.00,69.77,0.00,N/A
162.159.4.118,1,1,0.00,69.78,0.00,N/A
162.159.10.12,1,1,0.00,69.86,0.00,N/A
104.18.33.242,1,1,0.00,69.87,0.00,N/A
162.159.12.226,1,1,0.00,69.93,0.00,N/A
104.18.36.93,1,1,0.00,69.95,0.00,N/A
162.159.62.38,1,1,0.00,69.96,0.00,N/A
172.64.151.231,1,1,0.00,70.28,0.00,N/A
162.159.40.208,1,1,0.00,70.30,0.00,N/A
162.159.60.178,1,1,0.00,70.43,0.00,N/A
162.159.36.190,1,1,0.00,70.47,0.00,N/A
162.159.22.48,1,1,0.00,70.51,0.00,N/A
172.64.153.7,1,1,0.00,70.54,0.00,N/A
162.159.7.76,1,1,0.00,70.62,0.00,N/A
162.159.51.186,1,1,0.00,70.68,0.00,N/A
162.159.46.64,1,1,0.00,70.72,0.00,N/A
172.64.150.110,1,1,0.00,70.80,0.00,N/A
162.159.57.135,1,1,0.00,70.96,0.00,N/A
172.64.38.90,1,1,0.00,71.03,0.00,N/A
172.64.146.2,1,1,0.00,71.15,0.00,N/A
172.64.158.78,1,1,0.00,71.27,0.00,N/A
108.162.195.202,1,1,0.00,71.28,0.00,N/A
172.64.155.126,1,1,0.00,71.29,0.00,N/A
172.64.145.29,1,1,0.00,71.35,0.00,N/A
198.41.211.188,1,1,0.00,71.50,0.00,N/A
162.159.48.224,1,1,0.00,71.52,0.00,N/A
172.64.149.58,1,1,0.00,71.67,0.00,N/A
172.64.50.175,1,1,0.00,71.68,0.00,N/A
162.159.49.29,1,1,0.00,71.70,0.00,N/A
162.159.25.169,1,1,0.00,71.88,0.00,N/A
108.162.192.9,1,1,0.00,71.93,0.00,N/A
162.159.35.149,1,1,0.00,71.94,0.00,N/A
162.159.56.170,1,1,0.00,71.95,0.00,N/A
162.159.1.63,1,1,0.00,72.00,0.00,N/A
172.64.148.79,1,1,0.00,72.03,0.00,N/A
172.64.40.188,1,1,0.00,72.21,0.00,N/A
162.159.2.41,1,1,0.00,72.28,0.00,N/A
104.18.39.42,1,1,0.00,72.30,0.00,N/A
172.64.47.198,1,1,0.00,72.34,0.00,N/A
172.64.36.12,1,1,0.00,72.56,0.00,N/A
108.162.194.184,1,1,0.00,72.66,0.00,N/A
162.159.61.89,1,1,0.00,72.66,0.00,N/A
172.64.46.223,1,1,0.00,73.22,0.00,N/A
104.18.40.100,1,1,0.00,73.24,0.00,N/A
162.159.32.103,1,1,0.00,73.46,0.00,N/A
172.64.156.208,1,1,0.00,73.51,0.00,N/A
162.159.5.216,1,1,0.00,73.58,0.00,N/A
172.64.42.108,1,1,0.00,73.61,0.00,N/A
104.18.32.208,1,1,0.00,73.80,0.00,N/A
172.64.32.79,1,1,0.00,73.96,0.00,N/A
173.245.59.114,1,1,0.00,74.00,0.00,N/A
162.159.43.148,1,1,0.00,74.14,0.00,N/A
173.245.58.223,1,1,0.00,74.58,0.00,N/A
162.159.6.60,1,1,0.00,74.89,0.00,N/A
172.64.157.158,1,1,0.00,74.90,0.00,N/A
162.159.0.88,1,1,0.00,74.91,0.00,N/A
104.18.43.182,1,1,0.00,74.94,0.00,N/A
162.159.9.2,1,1,0.00,75.19,0.00,N/A
172.64.152.216,1,1,0.00,75.72,0.00,N/A
162.159.24.211,1,1,0.00,75.72,0.00,N/A
172.64.49.164,1,1,0.00,75.99,0.00,N/A
104.18.41.150,1,1,0.00,76.06,0.00,N/A
104.18.38.109,1,1,0.00,76.23,0.00,N/A
162.159.21.23,1,1,0.00,76.32,0.00,N/A
172.64.33.190,1,1,0.00,76.43,0.00,N/A
104.18.44.31,1,1,0.00,76.64,0.00,N/A
162.159.19.59,1,1,0.00,76.69,0.00,N/A
162.159.15.101,1,1,0.00,76.88,0.00,N/A
162.159.20.91,1,1,0.00,77.20,0.00,N/A
104.18.45.198,1,1,0.00,77.79,0.00,N/A
162.159.17.98,1,1,0.00,77.91,0.00,N/A
172.64.159.63,1,1,0.00,78.15,0.00,N/A
104.18.42.143,1,1,0.00,78.74,0.00,N/A
172.64.48.25,1,1,0.00,79.64,0.00,N/A
172.64.41.225,1,1,0.00,79.75,0.00,N/A
108.162.193.240,1,1,0.00,81.11,0.00,N/A
162.159.3.86,1,1,0.00,82.06,0.00,N/A
198.41.223.158,1,1,0.00,92.03,0.00,N/A
172.64.229.149,1,1,0.00,92.06,0.00,N/A
198.41.222.155,1,1,0.00,121.55,0.00,N/A
104.18.90.178,1,1,0.00,128.64,0.00,N/A
104.19.183.94,1,1,0.00,129.05,0.00,N/A
104.16.101.81,1,1,0.00,129.24,0.00,N/A
104.17.66.47,1,1,0.00,129.31,0.00,N/A
104.16.58.109,1,1,0.00,129.38,0.00,N/A
104.18.57.141,1,1,0.00,129.41,0.00,N/A
104.17.106.163,1,1,0.00,129.41,0.00,N/A
104.16.77.232,1,1,0.00,129.52,0.00,N/A
104.17.49.200,1,1,0.00,129.60,0.00,N/A
104.16.147.141,1,1,0.00,129.61,0.00,N/A
104.17.11.118,1,1,0.00,129.61,0.00,N/A
104.18.194.195,1,1,0.00,129.67,0.00,N/A
104.17.176.240,1,1,0.00,129.72,0.00,N/A
104.19.151.84,1,1,0.00,129.75,0.00,N/A
104.19.93.174,1,1,0.00,129.77,0.00,N/A
104.18.135.33,1,1,0.00,129.80,0.00,N/A
104.19.47.24,1,1,0.00,129.82,0.00,N/A
172.65.219.33,1,1,0.00,129.83,0.00,N/A
104.16.167.80,1,1,0.00,129.84,0.00,N/A
104.17.56.178,1,1,0.00,129.86,0.00,N/A
104.16.155.215,1,1,0.00,129.89,0.00,N/A
104.19.10.137,1,1,0.00,129.92,0.00,N/A
104.16.128.77,1,1,0.00,129.93,0.00,N/A
104.17.235.88,1,1,0.00,129.95,0.00,N/A
104.18.138.130,1,1,0.00,129.95,0.00,N/A
141.101.121.239,1,1,0.00,129.98,0.00,N/A
104.18.66.61,1,1,0.00,129.99,0.00,N/A
104.18.100.81,1,1,0.00,130.01,0.00,N/A
104.19.59.95,1,1,0.00,130.14,0.00,N/A
104.17.67.193,1,1,0.00,130.19,0.00,N/A
104.19.13.169,1,1,0.00,130.20,0.00,N/A
104.19.114.158,1,1,0.00,130.28,0.00,N/A
104.17.179.89,1,1,0.00,130.29,0.00,N/A
104.19.218.162,1,1,0.00,130.36,0.00,N/A
104.19.85.215,1,1,0.00,130.36,0.00,N/A
104.18.238.202,1,1,0.00,130.37,0.00,N/A
104.18.103.102,1,1,0.00,130.46,0.00,N/A
104.19.23.37,1,1,0.00,130.53,0.00,N/A
104.16.156.19,1,1,0.00,130.54,0.00,N/A
104.17.84.139,1,1,0.00,130.56,0.00,N/A
172.65.228.211,1,1,0.00,130.56,0.00,N/A
104.17.13.5,1,1,0.00,130.59,0.00,N/A
104.19.103.55,1,1,0.00,130.60,0.00,N/A
172.65.212.87,1,1,0.00,130.61,0.00,N/A
104.18.146.207,1,1,0.00,130.61,0.00,N/A
104.16.253.116,1,1,0.00,130.63,0.00,N/A
104.17.171.190,1,1,0.00,130.66,0.00,N/A
172.65.230.216,1,1,0.00,130.68,0.00,N/A
172.65.201.145,1,1,0.00,130.72,0.00,N/A
172.65.251.14,1,1,0.00,130.73,0.00,N/A
104.17.185.149,1,1,0.00,130.74,0.00,N/A
172.65.215.111,1,1,0.00,130.75,0.00,N/A
190.93.245.115,1,1,0.00,130.76,0.00,N/A
104.16.28.74,1,1,0.00,130.78,0.00,N/A
104.18.142.58,1,1,0.00,130.80,0.00,N/A
104.19.207.44,1,1,0.00,130.82,0.00,N/A
172.65.198.99,1,1,0.00,130.82,0.00,N/A
172.65.217.130,1,1,0.00,130.85,0.00,N/A
104.19.190.160,1,1,0.00,130.89,0.00,N/A
104.16.136.185,1,1,0.00,130.89,0.00,N/A
104.17.75.97,1,1,0.00,130.98,0.00,N/A
104.17.97.97,1,1,0.00,130.98,0.00,N/A
104.16.172.10,1,1,0.00,131.00,0.00,N/A
104.16.138.165,1,1,0.00,131.04,0.00,N/A
104.19.152.134,1,1,0.00,131.09,0.00,N/A
172.65.240.223,1,1,0.00,131.11,0.00,N/A
104.16.229.32,1,1,0.00,131.15,0.00,N/A
172.65.253.140,1,1,0.00,131.15,0.00,N/A
104.16.222.126,1,1,0.00,131.16,0.00,N/A
104.17.14.124,1,1,0.00,131.18,0.00,N/A
104.17.209.200,1,1,0.00,131.21,0.00,N/A
104.16.45.238,1,1,0.00,131.22,0.00,N/A
198.41.204.153,1,1,0.00,131.27,0.00,N/A
172.65.249.71,1,1,0.00,131.29,0.00,N/A
104.16.148.123,1,1,0.00,131.29,0.00,N/A
104.19.168.161,1,1,0.00,131.35,0.00,N/A
