IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.48.48,4,4,0.00,66.67,0.00,N/A
172.64.52.136,4,4,0.00,68.35,0.00,N/A
172.64.158.82,4,4,0.00,71.99,0.00,N/A
172.64.50.202,4,4,0.00,72.14,0.00,N/A
172.64.49.175,4,4,0.00,72.25,0.00,N/A
172.64.47.128,4,4,0.00,72.55,0.00,N/A
172.64.147.103,4,4,0.00,73.72,0.00,N/A
172.64.145.132,4,4,0.00,73.73,0.00,N/A
172.64.53.65,4,4,0.00,73.92,0.00,N/A
172.64.46.180,4,4,0.00,76.34,0.00,N/A
172.64.156.141,4,4,0.00,77.05,0.00,N/A
172.64.159.152,4,4,0.00,77.13,0.00,N/A
172.64.149.48,4,4,0.00,77.13,0.00,N/A
172.64.152.188,4,4,0.00,78.89,0.00,N/A
172.64.151.81,4,4,0.00,79.53,0.00,N/A
172.64.37.210,4,4,0.00,79.67,0.00,N/A
172.64.42.48,4,4,0.00,79.67,0.00,N/A
172.64.34.12,4,4,0.00,79.90,0.00,N/A
172.64.41.72,4,4,0.00,80.98,0.00,N/A
172.64.35.158,4,4,0.00,81.01,0.00,N/A
172.64.154.125,4,4,0.00,81.47,0.00,N/A
172.64.157.33,4,4,0.00,81.57,0.00,N/A
172.64.36.228,4,4,0.00,81.65,0.00,N/A
172.64.155.224,4,4,0.00,82.24,0.00,N/A
172.64.33.12,4,4,0.00,82.68,0.00,N/A
172.64.144.179,4,4,0.00,85.31,0.00,N/A
172.64.150.198,4,4,0.00,85.96,0.00,N/A
172.64.38.106,4,4,0.00,88.26,0.00,N/A
198.41.222.14,4,4,0.00,88.54,0.00,N/A
198.41.223.250,4,4,0.00,88.55,0.00,N/A
172.64.146.13,4,4,0.00,89.21,0.00,N/A
198.41.211.88,4,4,0.00,90.86,0.00,N/A
172.64.153.194,4,4,0.00,90.86,0.00,N/A
172.64.148.78,4,4,0.00,95.93,0.00,N/A
172.64.32.117,4,4,0.00,99.64,0.00,N/A
104.18.32.122,4,4,0.00,101.75,0.00,N/A
104.18.33.3,4,4,0.00,102.91,0.00,N/A
104.18.41.102,4,4,0.00,105.86,0.00,N/A
104.18.38.185,4,4,0.00,109.88,0.00,N/A
104.18.35.31,4,4,0.00,111.94,0.00,N/A
104.18.36.61,4,4,0.00,113.10,0.00,N/A
104.18.43.94,4,4,0.00,113.74,0.00,N/A
172.64.229.104,4,4,0.00,114.28,0.00,N/A
104.18.34.41,4,4,0.00,116.43,0.00,N/A
104.18.44.250,4,4,0.00,118.87,0.00,N/A
104.18.37.69,4,4,0.00,122.33,0.00,N/A
104.18.47.217,4,4,0.00,122.83,0.00,N/A
104.18.46.169,4,4,0.00,126.07,0.00,N/A
162.159.2.43,4,4,0.00,126.16,0.00,N/A
104.18.40.202,4,4,0.00,126.75,0.00,N/A
104.18.39.124,4,4,0.00,127.98,0.00,N/A
172.65.195.230,4,4,0.00,133.32,0.00,N/A
104.18.45.21,4,4,0.00,136.22,0.00,N/A
104.16.216.231,4,4,0.00,136.22,0.00,N/A
172.65.198.226,4,4,0.00,136.49,0.00,N/A
104.18.42.215,4,4,0.00,138.18,0.00,N/A
104.17.0.108,4,4,0.00,138.28,0.00,N/A
172.65.229.180,4,4,0.00,138.41,0.00,N/A
172.65.213.214,4,4,0.00,138.47,0.00,N/A
104.16.240.170,4,4,0.00,138.71,0.00,N/A
104.16.214.239,4,4,0.00,139.20,0.00,N/A
172.65.223.197,4,4,0.00,139.36,0.00,N/A
104.16.215.46,4,4,0.00,140.17,0.00,N/A
104.16.230.157,4,4,0.00,140.28,0.00,N/A
172.65.203.210,4,4,0.00,140.48,0.00,N/A
103.21.244.165,4,4,0.00,140.54,0.00,N/A
104.16.191.215,4,4,0.00,140.59,0.00,N/A
104.19.84.113,4,4,0.00,141.98,0.00,N/A
104.16.250.147,4,4,0.00,142.00,0.00,N/A
104.16.114.115,4,4,0.00,142.03,0.00,N/A
172.65.255.10,4,4,0.00,142.41,0.00,N/A
104.16.238.49,4,4,0.00,142.49,0.00,N/A
104.17.9.148,4,4,0.00,142.53,0.00,N/A
172.65.221.139,4,4,0.00,142.60,0.00,N/A
104.16.201.184,4,4,0.00,142.61,0.00,N/A
172.65.196.214,4,4,0.00,143.18,0.00,N/A
