IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.162.79,4,4,0.00,0.50,0.00,N/A
198.41.196.250,4,4,0.00,0.50,0.00,N/A
104.17.99.65,4,4,0.00,0.55,0.00,N/A
162.158.172.0,4,4,0.00,0.57,0.00,N/A
162.159.128.189,4,4,0.00,0.58,0.00,N/A
198.41.199.48,4,4,0.00,0.59,0.00,N/A
104.21.190.13,4,4,0.00,0.60,0.00,N/A
104.17.102.26,4,4,0.00,0.67,0.00,N/A
162.158.179.34,4,4,0.00,0.69,0.00,N/A
162.158.82.188,4,4,0.00,0.72,0.00,N/A
104.21.71.0,4,4,0.00,0.74,0.00,N/A
162.158.173.61,4,4,0.00,0.74,0.00,N/A
162.158.175.48,4,4,0.00,0.75,0.00,N/A
104.17.163.16,4,4,0.00,0.75,0.00,N/A
104.21.72.222,4,4,0.00,0.75,0.00,N/A
104.18.222.124,4,4,0.00,0.77,0.00,N/A
162.158.183.251,4,4,0.00,0.78,0.00,N/A
104.28.93.105,4,4,0.00,0.78,0.00,N/A
104.16.247.46,4,4,0.00,0.82,0.00,N/A
104.17.166.186,4,4,0.00,0.85,0.00,N/A
172.64.64.69,4,4,0.00,0.85,0.00,N/A
104.18.137.94,4,4,0.00,0.85,0.00,N/A
162.158.177.183,4,4,0.00,0.86,0.00,N/A
104.17.167.177,4,4,0.00,0.87,0.00,N/A
172.64.36.184,4,4,0.00,0.89,0.00,N/A
104.20.137.199,4,4,0.00,0.92,0.00,N/A
104.18.138.229,4,4,0.00,1.00,0.00,N/A
104.17.98.8,4,4,0.00,1.00,0.00,N/A
104.20.243.43,4,4,0.00,1.00,0.00,N/A
104.18.221.71,4,4,0.00,1.00,0.00,N/A
104.17.110.118,4,4,0.00,1.01,0.00,N/A
104.20.138.196,4,4,0.00,1.02,0.00,N/A
104.28.92.55,4,4,0.00,1.03,0.00,N/A
104.22.45.7,4,4,0.00,1.03,0.00,N/A
162.158.176.39,4,4,0.00,1.05,0.00,N/A
162.158.181.111,4,4,0.00,1.09,0.00,N/A
104.16.246.55,4,4,0.00,1.09,0.00,N/A
162.158.182.57,4,4,0.00,1.10,0.00,N/A
162.158.185.195,4,4,0.00,1.12,0.00,N/A
104.19.168.147,4,4,0.00,1.17,0.00,N/A
162.158.197.127,4,4,0.00,1.20,0.00,N/A
104.17.100.97,4,4,0.00,1.21,0.00,N/A
104.17.164.13,4,4,0.00,1.25,0.00,N/A
104.19.169.42,4,4,0.00,1.25,0.00,N/A
162.158.187.252,4,4,0.00,1.25,0.00,N/A
104.17.165.4,4,4,0.00,1.25,0.00,N/A
104.21.187.97,4,4,0.00,1.26,0.00,N/A
104.16.69.55,4,4,0.00,1.26,0.00,N/A
172.64.37.99,4,4,0.00,1.30,0.00,N/A
104.20.41.142,4,4,0.00,1.34,0.00,N/A
162.158.84.248,4,4,0.00,1.38,0.00,N/A
104.24.116.191,4,4,0.00,1.42,0.00,N/A
104.16.248.174,4,4,0.00,1.45,0.00,N/A
104.22.48.134,4,4,0.00,1.48,0.00,N/A
104.19.68.105,4,4,0.00,1.48,0.00,N/A
104.19.171.186,4,4,0.00,1.51,0.00,N/A
162.158.196.227,4,4,0.00,1.52,0.00,N/A
104.17.103.168,4,4,0.00,1.53,0.00,N/A
172.64.32.129,4,4,0.00,1.55,0.00,N/A
104.26.124.15,4,4,0.00,1.57,0.00,N/A
198.41.198.24,4,4,0.00,1.61,0.00,N/A
104.21.176.140,4,4,0.00,1.65,0.00,N/A
104.17.101.181,4,4,0.00,1.66,0.00,N/A
172.64.63.4,4,4,0.00,1.66,0.00,N/A
104.25.104.231,4,4,0.00,1.66,0.00,N/A
104.24.115.32,4,4,0.00,1.68,0.00,N/A
162.158.89.235,4,4,0.00,1.68,0.00,N/A
104.21.167.9,4,4,0.00,1.68,0.00,N/A
162.158.85.248,4,4,0.00,1.69,0.00,N/A
162.158.88.104,4,4,0.00,1.70,0.00,N/A
162.158.184.89,4,4,0.00,1.74,0.00,N/A
104.21.173.96,4,4,0.00,1.75,0.00,N/A
104.18.41.111,4,4,0.00,1.75,0.00,N/A
104.22.44.127,4,4,0.00,1.75,0.00,N/A
104.21.192.2,4,4,0.00,1.75,0.00,N/A
104.17.169.105,4,4,0.00,1.75,0.00,N/A
172.64.33.250,4,4,0.00,1.76,0.00,N/A
162.158.174.238,4,4,0.00,1.79,0.00,N/A
172.65.97.250,4,4,0.00,1.79,0.00,N/A
104.19.172.105,4,4,0.00,1.84,0.00,N/A
104.18.229.16,4,4,0.00,1.87,0.00,N/A
104.21.168.49,4,4,0.00,1.88,0.00,N/A
172.65.84.136,4,4,0.00,1.90,0.00,N/A
104.22.47.65,4,4,0.00,1.91,0.00,N/A
104.25.107.128,4,4,0.00,1.97,0.00,N/A
172.64.60.99,4,4,0.00,1.98,0.00,N/A
104.26.118.174,4,4,0.00,2.00,0.00,N/A
104.24.107.229,4,4,0.00,2.00,0.00,N/A
172.64.34.242,4,4,0.00,2.00,0.00,N/A
172.65.112.34,4,4,0.00,2.02,0.00,N/A
198.41.200.170,4,4,0.00,2.03,0.00,N/A
104.16.68.23,4,4,0.00,2.04,0.00,N/A
104.21.163.214,4,4,0.00,2.06,0.00,N/A
162.158.180.235,4,4,0.00,2.06,0.00,N/A
172.65.94.53,4,4,0.00,2.07,0.00,N/A
104.22.203.107,4,4,0.00,2.11,0.00,N/A
104.22.204.195,4,4,0.00,2.16,0.00,N/A
104.31.193.194,4,4,0.00,2.17,0.00,N/A
104.18.225.81,4,4,0.00,2.19,0.00,N/A
162.159.129.101,4,4,0.00,2.21,0.00,N/A
104.17.168.44,4,4,0.00,2.22,0.00,N/A
104.19.170.79,4,4,0.00,2.25,0.00,N/A
162.159.130.90,4,4,0.00,2.25,0.00,N/A
104.31.176.253,4,4,0.00,2.26,0.00,N/A
172.65.60.72,4,4,0.00,2.26,0.00,N/A
172.64.38.29,4,4,0.00,2.27,0.00,N/A
162.158.178.157,4,4,0.00,2.28,0.00,N/A
104.18.230.48,4,4,0.00,2.28,0.00,N/A
104.21.191.196,4,4,0.00,2.32,0.00,N/A
104.18.226.18,4,4,0.00,2.40,0.00,N/A
162.158.86.237,4,4,0.00,2.42,0.00,N/A
162.158.198.225,4,4,0.00,2.43,0.00,N/A
104.17.104.128,4,4,0.00,2.43,0.00,N/A
162.158.195.173,4,4,0.00,2.44,0.00,N/A
162.158.83.10,4,4,0.00,2.44,0.00,N/A
104.17.107.250,4,4,0.00,2.45,0.00,N/A
104.17.97.120,4,4,0.00,2.45,0.00,N/A
104.26.63.11,4,4,0.00,2.47,0.00,N/A
104.16.250.20,4,4,0.00,2.51,0.00,N/A
172.65.101.202,4,4,0.00,2.51,0.00,N/A
104.16.249.130,4,4,0.00,2.51,0.00,N/A
172.65.89.123,4,4,0.00,2.52,0.00,N/A
172.65.108.120,4,4,0.00,2.52,0.00,N/A
104.29.67.60,4,4,0.00,2.52,0.00,N/A
104.21.175.120,4,4,0.00,2.54,0.00,N/A
104.18.224.190,4,4,0.00,2.54,0.00,N/A
104.26.160.182,4,4,0.00,2.55,0.00,N/A
104.21.164.18,4,4,0.00,2.56,0.00,N/A
104.21.166.61,4,4,0.00,2.57,0.00,N/A
162.158.171.81,4,4,0.00,2.58,0.00,N/A
104.29.139.94,4,4,0.00,2.59,0.00,N/A
198.41.143.176,4,4,0.00,2.63,0.00,N/A
104.18.228.150,4,4,0.00,2.68,0.00,N/A
104.16.252.51,4,4,0.00,2.68,0.00,N/A
104.31.173.230,4,4,0.00,2.73,0.00,N/A
104.19.67.233,4,4,0.00,2.73,0.00,N/A
104.26.125.120,4,4,0.00,2.74,0.00,N/A
104.26.116.202,4,4,0.00,2.75,0.00,N/A
104.17.170.114,4,4,0.00,2.75,0.00,N/A
104.29.75.13,4,4,0.00,2.79,0.00,N/A
104.24.106.41,4,4,0.00,2.79,0.00,N/A
172.64.242.52,4,4,0.00,2.79,0.00,N/A
104.21.194.33,4,4,0.00,2.80,0.00,N/A
104.31.175.14,4,4,0.00,2.80,0.00,N/A
162.158.186.236,4,4,0.00,2.81,0.00,N/A
104.22.205.238,4,4,0.00,2.84,0.00,N/A
172.65.85.194,4,4,0.00,2.85,0.00,N/A
104.22.206.123,4,4,0.00,2.85,0.00,N/A
104.19.69.16,4,4,0.00,2.86,0.00,N/A
