IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.35.178,4,4,0.00,69.15,14.66,SIN
172.64.41.251,4,4,0.00,67.89,13.77,SIN
172.64.52.242,4,4,0.00,68.11,13.26,SIN
172.64.148.232,4,4,0.00,67.73,10.89,SIN
172.64.42.104,4,4,0.00,67.56,10.50,SIN
172.64.38.79,4,4,0.00,68.23,8.03,SIN
108.162.198.127,4,4,0.00,50.80,7.84,NRT
104.17.33.76,4,4,0.00,144.18,0.00,N/A
104.17.216.124,4,4,0.00,140.58,0.00,N/A
172.64.46.6,4,4,0.00,70.26,0.00,N/A
172.64.146.128,4,4,0.00,70.56,0.00,N/A
172.64.37.8,4,4,0.00,72.23,0.00,N/A
172.64.34.42,4,4,0.00,72.55,0.00,N/A
172.64.147.86,4,4,0.00,72.92,0.00,N/A
172.64.40.211,4,4,0.00,73.08,0.00,N/A
198.41.211.35,4,4,0.00,73.54,0.00,N/A
172.64.50.61,4,4,0.00,73.72,0.00,N/A
104.18.46.161,4,4,0.00,73.77,0.00,N/A
104.18.37.94,4,4,0.00,73.90,0.00,N/A
172.64.33.18,4,4,0.00,73.97,0.00,N/A
108.162.194.232,4,4,0.00,74.17,0.00,N/A
104.18.36.201,4,4,0.00,74.54,0.00,N/A
104.18.34.73,4,4,0.00,74.76,0.00,N/A
108.162.195.221,4,4,0.00,74.95,0.00,N/A
104.18.33.112,4,4,0.00,75.13,0.00,N/A
104.18.39.173,4,4,0.00,75.17,0.00,N/A
108.162.192.106,4,4,0.00,75.92,0.00,N/A
173.245.59.115,4,4,0.00,76.05,0.00,N/A
104.18.42.146,4,4,0.00,76.37,0.00,N/A
104.18.41.126,4,4,0.00,76.45,0.00,N/A
104.18.80.122,4,4,0.00,144.65,0.00,N/A
172.64.145.140,4,4,0.00,76.92,0.00,N/A
172.64.154.243,4,4,0.00,77.09,0.00,N/A
104.18.43.12,4,4,0.00,77.18,0.00,N/A
198.41.223.107,4,4,0.00,77.52,0.00,N/A
104.18.47.83,4,4,0.00,77.87,0.00,N/A
172.64.159.40,4,4,0.00,78.07,0.00,N/A
173.245.58.164,4,4,0.00,78.85,0.00,N/A
104.18.44.191,4,4,0.00,79.01,0.00,N/A
108.162.196.32,4,4,0.00,80.34,0.00,N/A
104.18.38.142,4,4,0.00,80.41,0.00,N/A
104.18.40.154,4,4,0.00,80.52,0.00,N/A
104.18.35.16,4,4,0.00,82.33,0.00,N/A
104.18.45.124,4,4,0.00,82.41,0.00,N/A
172.64.149.161,4,4,0.00,82.81,0.00,N/A
172.64.155.159,4,4,0.00,83.45,0.00,N/A
172.64.151.88,4,4,0.00,83.54,0.00,N/A
104.18.32.252,4,4,0.00,83.88,0.00,N/A
104.16.255.222,4,4,0.00,129.99,0.00,N/A
172.64.90.106,4,4,0.00,134.96,0.00,N/A
104.16.82.54,4,4,0.00,136.53,0.00,N/A
172.65.218.239,4,4,0.00,136.89,0.00,N/A
104.18.229.2,4,4,0.00,137.31,0.00,N/A
104.16.94.111,4,4,0.00,138.24,0.00,N/A
172.65.241.252,4,4,0.00,138.33,0.00,N/A
172.66.44.23,4,4,0.00,138.60,0.00,N/A
104.18.218.69,4,4,0.00,138.66,0.00,N/A
104.16.35.1,4,4,0.00,139.06,0.00,N/A
198.41.201.52,4,4,0.00,139.11,0.00,N/A
104.16.236.23,4,4,0.00,139.31,0.00,N/A
104.16.163.132,4,4,0.00,139.50,0.00,N/A
104.17.52.97,4,4,0.00,140.07,0.00,N/A
104.19.235.70,4,4,0.00,140.18,0.00,N/A
172.65.234.128,4,4,0.00,140.20,0.00,N/A
104.18.224.165,4,4,0.00,140.23,0.00,N/A
172.65.211.6,4,4,0.00,140.34,0.00,N/A
104.16.224.137,4,4,0.00,140.47,0.00,N/A
104.18.133.139,4,4,0.00,140.47,0.00,N/A
104.18.184.237,4,4,0.00,144.70,0.00,N/A
104.16.135.250,4,4,0.00,140.70,0.00,N/A
104.16.77.191,4,4,0.00,140.96,0.00,N/A
104.16.100.10,4,4,0.00,141.00,0.00,N/A
104.16.131.235,4,4,0.00,141.01,0.00,N/A
104.16.181.3,4,4,0.00,141.10,0.00,N/A
104.16.5.34,4,4,0.00,141.21,0.00,N/A
104.16.66.251,4,4,0.00,141.29,0.00,N/A
104.17.45.160,4,4,0.00,141.75,0.00,N/A
104.17.32.29,4,4,0.00,141.85,0.00,N/A
104.18.150.202,4,4,0.00,144.84,0.00,N/A
172.64.231.135,4,4,0.00,142.05,0.00,N/A
104.16.124.240,4,4,0.00,142.14,0.00,N/A
162.159.236.10,4,4,0.00,142.22,0.00,N/A
104.16.182.167,4,4,0.00,142.24,0.00,N/A
104.16.21.248,4,4,0.00,142.33,0.00,N/A
104.16.13.173,4,4,0.00,142.47,0.00,N/A
104.18.79.209,4,4,0.00,142.67,0.00,N/A
104.19.118.188,4,4,0.00,142.71,0.00,N/A
104.29.127.215,4,4,0.00,142.85,0.00,N/A
104.19.35.195,4,4,0.00,142.94,0.00,N/A
104.17.91.124,4,4,0.00,142.97,0.00,N/A
172.64.91.130,4,4,0.00,143.00,0.00,N/A
104.18.135.111,4,4,0.00,143.03,0.00,N/A
104.18.147.130,4,4,0.00,143.11,0.00,N/A
104.18.210.189,4,4,0.00,143.16,0.00,N/A
104.19.192.174,4,4,0.00,143.17,0.00,N/A
104.19.188.117,4,4,0.00,143.18,0.00,N/A
104.16.24.115,4,4,0.00,143.34,0.00,N/A
104.16.36.235,4,4,0.00,143.43,0.00,N/A
162.159.248.11,4,4,0.00,143.44,0.00,N/A
172.64.81.195,4,4,0.00,143.48,0.00,N/A
172.66.42.116,4,4,0.00,143.50,0.00,N/A
104.16.90.104,4,4,0.00,143.65,0.00,N/A
104.17.8.176,4,4,0.00,143.71,0.00,N/A
104.16.134.220,4,4,0.00,143.76,0.00,N/A
104.16.189.131,4,4,0.00,143.83,0.00,N/A
104.18.178.175,4,4,0.00,143.87,0.00,N/A
104.16.147.79,4,4,0.00,143.87,0.00,N/A
104.16.15.77,4,4,0.00,144.05,0.00,N/A
104.18.3.13,4,4,0.00,144.08,0.00,N/A
104.18.179.132,4,4,0.00,144.10,0.00,N/A
172.64.36.0,4,4,0.00,66.13,0.00,N/A
104.16.95.231,4,4,0.00,144.40,0.00,N/A
104.16.250.9,4,4,0.00,144.60,0.00,N/A
108.162.193.71,4,4,0.00,76.92,0.00,N/A
198.41.222.184,4,4,0.00,69.62,0.00,N/A
104.31.16.186,4,4,0.00,141.86,0.00,N/A
198.41.203.117,4,4,0.00,144.87,0.00,N/A
104.17.83.16,4,4,0.00,144.89,0.00,N/A
172.65.207.5,4,4,0.00,145.12,0.00,N/A
104.17.0.20,4,4,0.00,145.15,0.00,N/A
104.18.86.165,4,4,0.00,145.16,0.00,N/A
172.64.84.183,4,4,0.00,145.20,0.00,N/A
104.19.185.81,4,4,0.00,145.22,0.00,N/A
104.21.232.8,4,4,0.00,145.34,0.00,N/A
172.65.206.167,4,4,0.00,145.37,0.00,N/A
104.16.4.156,4,4,0.00,145.47,0.00,N/A
162.159.242.210,4,4,0.00,145.48,0.00,N/A
104.18.154.22,4,4,0.00,145.49,0.00,N/A
104.16.235.65,4,4,0.00,145.59,0.00,N/A
104.16.39.100,4,4,0.00,145.60,0.00,N/A
104.16.114.40,4,4,0.00,145.67,0.00,N/A
198.41.208.66,4,4,0.00,145.68,0.00,N/A
104.19.186.118,4,4,0.00,145.68,0.00,N/A
104.19.193.18,4,4,0.00,145.73,0.00,N/A
198.41.198.229,4,4,0.00,145.80,0.00,N/A
104.16.138.240,4,4,0.00,145.87,0.00,N/A
104.18.71.13,4,4,0.00,145.92,0.00,N/A
104.16.227.34,4,4,0.00,146.02,0.00,N/A
104.19.13.150,4,4,0.00,146.11,0.00,N/A
104.16.17.199,4,4,0.00,146.15,0.00,N/A
104.18.160.70,4,4,0.00,146.18,0.00,N/A
162.159.254.204,4,4,0.00,146.23,0.00,N/A
172.65.204.94,4,4,0.00,146.31,0.00,N/A
104.17.93.205,4,4,0.00,146.32,0.00,N/A
104.18.61.153,4,4,0.00,146.40,0.00,N/A
104.17.238.116,4,4,0.00,146.41,0.00,N/A
104.18.120.25,4,4,0.00,146.44,0.00,N/A
172.65.239.20,4,4,0.00,146.46,0.00,N/A
104.17.159.7,4,4,0.00,146.49,0.00,N/A
104.18.222.175,4,4,0.00,146.59,0.00,N/A
162.159.213.176,4,4,0.00,146.60,0.00,N/A
104.16.228.85,4,4,0.00,146.62,0.00,N/A
104.18.77.103,4,4,0.00,146.67,0.00,N/A
172.66.1.195,4,4,0.00,146.71,0.00,N/A
104.16.28.213,4,4,0.00,146.73,0.00,N/A
104.29.124.242,4,4,0.00,146.74,0.00,N/A
