IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.25.182.139,4,4,0.00,0.50,0.00,N/A
104.23.94.218,4,4,0.00,0.56,0.00,N/A
104.28.150.168,4,4,0.00,0.60,0.00,N/A
172.65.252.17,4,4,0.00,0.69,0.00,N/A
172.65.254.176,4,4,0.00,0.73,0.00,N/A
104.23.98.183,4,4,0.00,0.75,0.00,N/A
104.25.184.133,4,4,0.00,0.75,0.00,N/A
198.41.156.70,4,4,0.00,0.75,0.00,N/A
104.19.79.240,4,4,0.00,0.75,0.00,N/A
104.23.100.143,4,4,0.00,0.82,0.00,N/A
104.25.185.201,4,4,0.00,1.00,0.00,N/A
104.25.72.152,4,4,0.00,1.00,0.00,N/A
104.23.95.61,4,4,0.00,1.09,0.00,N/A
104.23.209.181,4,4,0.00,1.11,0.00,N/A
172.64.83.142,4,4,0.00,1.15,0.00,N/A
104.23.204.231,4,4,0.00,1.16,0.00,N/A
162.159.50.225,4,4,0.00,1.17,0.00,N/A
172.66.110.190,4,4,0.00,1.20,0.00,N/A
104.23.97.73,4,4,0.00,1.25,0.00,N/A
162.159.37.84,4,4,0.00,1.25,0.00,N/A
162.159.224.137,4,4,0.00,1.25,0.00,N/A
104.28.86.170,4,4,0.00,1.25,0.00,N/A
104.25.73.235,4,4,0.00,1.25,0.00,N/A
172.64.82.160,4,4,0.00,1.27,0.00,N/A
104.25.183.231,4,4,0.00,1.32,0.00,N/A
172.67.0.58,4,4,0.00,1.32,0.00,N/A
162.159.49.104,4,4,0.00,1.35,0.00,N/A
104.23.203.75,4,4,0.00,1.35,0.00,N/A
104.29.25.226,4,4,0.00,1.36,0.00,N/A
104.21.217.58,4,4,0.00,1.37,0.00,N/A
104.21.223.176,4,4,0.00,1.38,0.00,N/A
104.22.190.50,4,4,0.00,1.38,0.00,N/A
104.24.57.105,4,4,0.00,1.41,0.00,N/A
104.17.18.235,4,4,0.00,1.41,0.00,N/A
104.24.56.169,4,4,0.00,1.43,0.00,N/A
104.22.12.6,4,4,0.00,1.46,0.00,N/A
172.66.104.242,4,4,0.00,1.48,0.00,N/A
104.22.191.31,4,4,0.00,1.49,0.00,N/A
104.22.184.205,4,4,0.00,1.50,0.00,N/A
104.17.128.157,4,4,0.00,1.50,0.00,N/A
104.24.35.248,4,4,0.00,1.56,0.00,N/A
104.24.195.109,4,4,0.00,1.57,0.00,N/A
104.23.96.113,4,4,0.00,1.58,0.00,N/A
104.21.230.183,4,4,0.00,1.59,0.00,N/A
162.159.66.243,4,4,0.00,1.59,0.00,N/A
104.20.243.36,4,4,0.00,1.64,0.00,N/A
104.24.41.38,4,4,0.00,1.66,0.00,N/A
104.17.17.119,4,4,0.00,1.67,0.00,N/A
104.24.61.245,4,4,0.00,1.67,0.00,N/A
