IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.39.136,4,4,0.00,39.36,0.00,N/A
162.159.38.206,4,4,0.00,49.66,0.00,N/A
162.159.45.237,4,4,0.00,63.90,0.00,N/A
162.159.44.236,4,4,0.00,64.11,0.00,N/A
172.64.149.87,4,4,0.00,66.50,0.00,N/A
162.159.23.165,4,4,0.00,66.63,0.00,N/A
108.162.198.174,4,4,0.00,66.97,0.00,N/A
162.159.10.30,4,4,0.00,67.48,0.00,N/A
172.64.152.216,4,4,0.00,67.67,0.00,N/A
172.64.53.140,4,4,0.00,67.82,0.00,N/A
162.159.5.185,4,4,0.00,68.18,0.00,N/A
172.64.144.17,4,4,0.00,69.30,0.00,N/A
104.18.34.1,4,4,0.00,69.39,0.00,N/A
172.64.48.53,4,4,0.00,69.39,0.00,N/A
104.18.37.35,4,4,0.00,69.47,0.00,N/A
172.64.35.198,4,4,0.00,69.65,0.00,N/A
162.159.19.53,4,4,0.00,69.98,0.00,N/A
172.64.157.167,4,4,0.00,70.15,0.00,N/A
162.159.7.253,4,4,0.00,70.67,0.00,N/A
172.64.42.227,4,4,0.00,70.78,0.00,N/A
172.64.40.96,4,4,0.00,71.18,0.00,N/A
104.18.32.91,4,4,0.00,71.27,0.00,N/A
162.159.24.131,4,4,0.00,71.28,0.00,N/A
162.159.43.54,4,4,0.00,71.33,0.00,N/A
162.159.61.14,4,4,0.00,71.43,0.00,N/A
172.64.46.137,4,4,0.00,71.45,0.00,N/A
172.64.153.208,4,4,0.00,71.48,0.00,N/A
162.159.16.95,4,4,0.00,71.80,0.00,N/A
162.159.1.77,4,4,0.00,71.81,0.00,N/A
162.159.50.228,4,4,0.00,71.92,0.00,N/A
162.159.48.37,4,4,0.00,72.24,0.00,N/A
172.64.147.52,4,4,0.00,72.28,0.00,N/A
172.64.50.229,4,4,0.00,72.55,0.00,N/A
162.159.49.17,4,4,0.00,72.89,0.00,N/A
162.159.13.29,4,4,0.00,73.05,0.00,N/A
162.159.35.185,4,4,0.00,73.23,0.00,N/A
162.159.42.153,4,4,0.00,73.32,0.00,N/A
172.64.145.67,4,4,0.00,73.57,0.00,N/A
162.159.32.124,4,4,0.00,73.60,0.00,N/A
162.159.36.239,4,4,0.00,73.71,0.00,N/A
104.18.39.234,4,4,0.00,73.92,0.00,N/A
162.159.62.31,4,4,0.00,73.98,0.00,N/A
162.159.22.16,4,4,0.00,74.03,0.00,N/A
162.159.14.154,4,4,0.00,74.31,0.00,N/A
162.159.21.207,4,4,0.00,74.34,0.00,N/A
162.159.25.56,4,4,0.00,74.55,0.00,N/A
162.159.60.91,4,4,0.00,74.72,0.00,N/A
162.159.11.223,4,4,0.00,74.75,0.00,N/A
162.159.18.5,4,4,0.00,74.86,0.00,N/A
198.41.222.151,4,4,0.00,75.16,0.00,N/A
162.159.41.16,4,4,0.00,75.22,0.00,N/A
104.18.33.12,4,4,0.00,75.44,0.00,N/A
162.159.15.108,4,4,0.00,75.56,0.00,N/A
162.159.9.227,4,4,0.00,75.62,0.00,N/A
162.159.4.106,4,4,0.00,75.75,0.00,N/A
162.159.33.154,4,4,0.00,75.85,0.00,N/A
162.159.6.56,4,4,0.00,76.15,0.00,N/A
162.159.0.14,4,4,0.00,76.24,0.00,N/A
162.159.3.30,4,4,0.00,77.01,0.00,N/A
162.159.34.157,4,4,0.00,77.23,0.00,N/A
162.159.27.146,4,4,0.00,77.29,0.00,N/A
104.18.44.169,4,4,0.00,77.50,0.00,N/A
162.159.58.106,4,4,0.00,77.68,0.00,N/A
172.64.34.133,4,4,0.00,77.69,0.00,N/A
162.159.17.70,4,4,0.00,77.75,0.00,N/A
162.159.26.119,4,4,0.00,77.81,0.00,N/A
104.18.45.81,4,4,0.00,77.96,0.00,N/A
104.18.42.144,4,4,0.00,78.03,0.00,N/A
162.159.2.187,4,4,0.00,78.13,0.00,N/A
162.159.8.87,4,4,0.00,78.59,0.00,N/A
162.159.56.248,4,4,0.00,78.65,0.00,N/A
162.159.12.209,4,4,0.00,78.67,0.00,N/A
