IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.198.110,4,4,0.00,52.77,0.00,N/A
172.64.46.21,4,4,0.00,65.32,0.00,N/A
172.64.158.94,4,4,0.00,66.39,0.00,N/A
172.64.38.129,4,4,0.00,66.47,0.00,N/A
172.64.37.107,4,4,0.00,66.64,0.00,N/A
172.64.52.153,4,4,0.00,66.84,0.00,N/A
172.64.53.55,4,4,0.00,67.35,0.00,N/A
172.64.157.41,4,4,0.00,67.52,0.00,N/A
172.64.33.136,4,4,0.00,67.97,0.00,N/A
172.64.36.245,4,4,0.00,68.91,0.00,N/A
108.162.196.214,4,4,0.00,68.93,0.00,N/A
172.64.146.106,4,4,0.00,68.94,0.00,N/A
172.64.35.50,4,4,0.00,69.05,0.00,N/A
162.159.60.190,4,4,0.00,69.29,0.00,N/A
172.64.155.42,4,4,0.00,69.43,0.00,N/A
172.64.40.99,4,4,0.00,70.31,0.00,N/A
172.64.49.162,4,4,0.00,70.39,0.00,N/A
172.64.148.201,4,4,0.00,70.39,0.00,N/A
162.159.44.88,4,4,0.00,70.42,0.00,N/A
172.64.47.184,4,4,0.00,70.42,0.00,N/A
172.64.144.37,4,4,0.00,70.64,0.00,N/A
172.64.156.234,4,4,0.00,70.77,0.00,N/A
172.64.34.212,4,4,0.00,70.82,0.00,N/A
172.64.150.56,4,4,0.00,71.03,0.00,N/A
162.159.13.83,4,4,0.00,71.11,0.00,N/A
162.159.4.48,4,4,0.00,71.29,0.00,N/A
172.64.145.156,4,4,0.00,71.38,0.00,N/A
172.64.41.205,4,4,0.00,71.42,0.00,N/A
172.64.153.217,4,4,0.00,71.66,0.00,N/A
108.162.192.97,4,4,0.00,71.90,0.00,N/A
198.41.223.96,4,4,0.00,71.97,0.00,N/A
104.18.36.144,4,4,0.00,71.97,0.00,N/A
104.18.34.0,4,4,0.00,72.19,0.00,N/A
172.64.151.142,4,4,0.00,72.22,0.00,N/A
172.64.50.66,4,4,0.00,72.34,0.00,N/A
162.159.61.48,4,4,0.00,72.36,0.00,N/A
108.162.194.202,4,4,0.00,72.40,0.00,N/A
172.64.32.21,4,4,0.00,72.86,0.00,N/A
162.159.10.234,4,4,0.00,72.90,0.00,N/A
104.18.42.146,4,4,0.00,72.94,0.00,N/A
162.159.15.166,4,4,0.00,73.42,0.00,N/A
172.64.147.159,4,4,0.00,73.50,0.00,N/A
